timestamp, humidity, temperature, moisture
08:29:52.997, h=36.8,t=20.6,moisture0=445.0
08:29:54.973, h=36.8,t=20.6,moisture0=455.0
08:29:56.991, h=36.8,t=20.6,moisture0=451.0
08:29:58.989, h=36.8,t=20.6,moisture0=448.0
08:30:00.995, h=36.8,t=20.6,moisture0=448.0
08:30:03.007, h=36.8,t=20.6,moisture0=449.0
08:30:05.014, h=36.8,t=20.6,moisture0=448.0
08:30:06.990, h=36.8,t=20.6,moisture0=448.0
08:30:09.000, h=36.7,t=20.6,moisture0=463.0
08:30:11.011, h=36.7,t=20.6,moisture0=451.0
08:30:13.030, h=36.6,t=20.6,moisture0=451.0
08:30:14.998, h=36.6,t=20.6,moisture0=458.0
08:30:17.006, h=36.7,t=20.6,moisture0=458.0
08:30:19.013, h=36.7,t=20.6,moisture0=447.0
08:30:21.020, h=36.7,t=20.6,moisture0=458.0
08:30:23.029, h=36.7,t=20.6,moisture0=449.0
08:30:25.038, h=36.7,t=20.6,moisture0=455.0
08:30:27.041, h=36.7,t=20.6,moisture0=451.0
08:30:29.051, h=36.8,t=20.6,moisture0=459.0
08:30:31.034, h=36.8,t=20.6,moisture0=461.0
08:30:33.041, h=36.9,t=20.6,moisture0=457.0
08:30:35.046, h=36.9,t=20.6,moisture0=460.0
08:30:37.052, h=36.9,t=20.6,moisture0=455.0
08:30:39.064, h=36.9,t=20.6,moisture0=458.0
08:30:41.039, h=36.9,t=20.6,moisture0=459.0
08:30:43.056, h=36.9,t=20.6,moisture0=453.0
08:30:45.069, h=36.9,t=20.6,moisture0=464.0
08:30:47.043, h=36.9,t=20.6,moisture0=458.0
08:30:49.053, h=36.9,t=20.6,moisture0=465.0
08:30:51.061, h=36.9,t=20.6,moisture0=465.0
08:30:53.072, h=36.8,t=20.6,moisture0=458.0
08:30:55.074, h=36.8,t=20.6,moisture0=465.0
08:30:57.085, h=36.9,t=20.6,moisture0=457.0
08:30:59.058, h=36.9,t=20.6,moisture0=464.0
08:31:01.074, h=36.9,t=20.6,moisture0=466.0
08:31:03.076, h=36.9,t=20.6,moisture0=467.0
08:31:05.090, h=37.0,t=20.6,moisture0=464.0
08:31:07.095, h=37.0,t=20.6,moisture0=462.0
08:31:09.102, h=36.9,t=20.6,moisture0=458.0
08:31:11.083, h=36.9,t=20.6,moisture0=461.0
08:31:13.088, h=37.0,t=20.6,moisture0=467.0
08:31:15.098, h=37.0,t=20.6,moisture0=464.0
08:31:17.107, h=37.0,t=20.6,moisture0=469.0
08:31:19.084, h=37.0,t=20.6,moisture0=462.0
08:31:21.097, h=37.1,t=20.6,moisture0=470.0
08:31:23.104, h=37.1,t=20.6,moisture0=467.0
08:31:25.113, h=37.1,t=20.6,moisture0=464.0
